Date,AAPL,MSFT,AMZN,NFLX,META,GOOG,NVDA,AMD
2016-08-24,24.7962,51.8213,37.8625,95.18,122.7235,38.2204,1.5233,7.43
2016-08-25,24.6906,52.018,37.961,97.32,123.1309,38.209,1.5132,7.465
2016-08-26,24.546,51.8928,38.45,97.58,124.1944,38.2155,1.5255,7.67
2016-08-29,24.5184,51.9554,38.5645,97.3,125.7647,38.3451,1.5245,7.59
2016-08-30,24.3302,51.7676,38.379,97.45,125.069,38.1931,1.5157,7.49
2016-08-31,24.3532,51.3831,38.458,97.45,125.3473,38.0918,1.5086,7.4
2016-09-01,24.4978,51.4994,38.531,97.38,125.397,38.1777,1.5531,7.35
2016-09-02,24.7273,51.5709,38.622,97.38,125.7349,38.3108,1.5378,7.51
2016-09-06,24.7204,51.5172,39.4435,100.09,128.9352,38.7389,1.5523,7.34
2016-09-07,24.8719,51.562,39.224,99.15,130.2471,38.7523,1.5295,6.84
2016-09-08,24.22,51.3563,39.203,99.66,129.4719,38.5025,1.5405,6.225
2016-09-09,23.6715,50.2653,38.007,96.5,126.3213,37.7248,1.4638,5.9
2016-09-12,24.2017,51.0165,38.5745,99.05,127.9015,38.1897,1.4941,5.94
2016-09-13,24.7778,50.5515,38.0505,96.09,126.4306,37.7263,1.4724,5.74
2016-09-14,25.6546,50.31,38.0545,97.01,126.9872,37.8654,1.4854,6.04
2016-09-15,26.5268,51.1417,38.4845,97.34,127.5636,38.3257,1.5418,6.02
2016-09-16,26.3776,51.1953,38.926,99.48,128.2792,38.1827,1.5455,6.05
2016-09-19,26.0701,50.9092,38.755,98.06,127.8618,38.0248,1.5659,6.16
2016-09-20,26.0678,50.8019,39.011,98.25,127.8518,38.3083,1.5516,6.17
2016-09-21,26.0632,51.6514,39.487,94.88,129.1439,38.5472,1.5951,6.29
2016-09-22,26.3088,51.705,40.235,95.83,129.283,39.093,1.5991,6.37
2016-09-23,25.8704,51.3563,40.2875,95.94,127.176,39.0776,1.5973,6.55
2016-09-26,25.9094,50.8823,39.958,94.56,126.53,38.4474,1.5823,6.32
2016-09-27,25.9576,51.8213,40.8055,97.07,127.9015,38.8844,1.6364,6.54
2016-09-28,26.155,51.8928,41.436,97.48,128.4382,38.8124,1.6423,6.59
2016-09-29,25.7487,51.3295,41.4525,96.67,127.3052,38.4871,1.6576,6.67
2016-09-30,25.9484,51.5083,41.8655,98.55,127.4841,38.6003,1.6851,6.91
2016-10-03,25.8268,51.3473,41.837,102.63,127.981,38.3655,1.6834,6.95
2016-10-04,25.9369,51.1864,41.7015,102.34,127.4046,38.5576,1.6797,6.97
2016-10-05,25.9484,51.5441,42.218,106.28,127.6829,38.5596,1.678,6.78
2016-10-06,26.1412,51.6335,42.083,105.07,127.9512,38.579,1.6561,6.96
2016-10-07,26.1802,51.6872,41.9715,104.82,128.1997,38.4906,1.6441,6.75
2016-10-10,26.637,51.9018,42.0855,103.33,129.442,39.0299,1.6502,6.84
2016-10-11,26.6944,51.1417,41.55,100.59,128.0904,38.8874,1.6264,6.5
2016-10-12,26.9331,51.0701,41.7045,99.5,128.2593,39.0398,1.6337,6.62
2016-10-13,26.8505,50.9002,41.464,100.23,127.0369,38.645,1.6072,6.49
2016-10-14,26.9997,51.3473,41.148,101.47,127.0965,38.6619,1.6229,6.75
2016-10-17,26.9813,51.1685,40.6475,99.8,126.7586,38.7329,1.6136,6.67
2016-10-18,26.9629,51.562,40.8825,118.79,127.7823,39.4927,1.6382,6.73
2016-10-19,26.8826,51.4457,40.8845,121.87,129.3128,39.8026,1.6347,6.77
2016-10-20,26.8688,51.1953,40.516,123.35,129.2035,39.5777,1.6657,6.96
2016-10-21,26.7632,53.3504,40.9495,127.5,131.2608,39.6968,1.661,6.52
2016-10-24,27.0043,54.5487,41.9045,127.33,132.4634,40.3792,1.739,7.005
2016-10-25,27.142,54.5398,41.759,126.51,131.4795,40.109,1.7675,7.5
2016-10-26,26.5314,54.2179,41.1295,126.97,130.2371,39.6819,1.7747,7.29
2016-10-27,26.2766,53.7439,40.918,126.47,128.8954,39.4972,1.7383,7.11
2016-10-28,26.1022,53.5382,38.816,126.57,130.4856,39.4982,1.7353,7.2
2016-10-31,26.0609,53.5829,39.491,124.87,130.1874,38.9604,1.7501,7.23
2016-11-01,25.5903,53.4756,39.2705,123.3,128.7066,38.9142,1.6982,7.09
2016-11-02,25.6133,53.1448,38.278,122.34,126.3908,38.1738,1.691,6.76
2016-11-03,25.3388,52.948,38.3515,122.14,119.2648,37.8475,1.6714,6.7
2016-11-04,25.1104,52.5009,37.7525,122.03,120.0102,37.842,1.6618,6.56
2016-11-07,25.4726,54.0301,39.2465,124.58,121.4016,38.8601,1.7528,6.96
2016-11-08,25.6225,54.0748,39.3875,124.34,123.4589,39.2569,1.7501,7.0
2016-11-09,25.581,53.8065,38.594,122.19,122.4253,38.9986,1.7206,6.94
2016-11-10,24.8681,52.492,37.119,115.42,120.0599,37.8689,1.6667,6.295
2016-11-11,25.0158,52.7781,36.9505,114.78,118.2908,37.4448,2.1635,6.685
2016-11-14,24.3882,51.9733,35.9535,113.38,114.3749,36.5539,2.057,6.79
2016-11-15,24.7112,52.9996,37.162,113.59,116.4819,37.6667,2.1197,6.97
2016-11-16,25.3757,53.7019,37.3245,115.19,115.6272,37.9642,2.2535,7.67
2016-11-17,25.3664,54.5931,37.82,115.03,117.0683,38.2994,2.2722,8.46
2016-11-18,25.3918,54.332,38.008,115.21,116.303,37.7685,2.296,8.71
2016-11-21,25.7771,54.7912,39.0,117.96,121.0239,38.1986,2.2867,8.94
2016-11-22,25.7933,55.0253,39.2665,118.04,120.7258,38.1524,2.3032,8.69
2016-11-23,25.6617,54.3771,39.006,117.69,120.0996,37.7909,2.3145,8.8
2016-11-25,25.7909,54.4941,39.0185,117.41,119.6424,37.8252,2.3192,8.77
2016-11-28,25.7402,54.5661,38.3385,116.93,119.6723,38.1509,2.318,8.83
2016-11-29,25.7148,54.9983,38.126,117.51,120.1294,38.28,2.2968,8.93
2016-11-30,25.4979,54.251,37.5285,117.0,117.6945,37.6444,2.2709,8.91
2016-12-01,25.2603,53.2967,37.1825,117.22,114.3948,37.1418,2.1586,8.39
2016-12-02,25.3549,53.3417,37.017,120.81,114.693,37.27,2.1785,8.53
2016-12-05,25.1726,54.215,37.968,119.16,116.7105,37.8669,2.263,8.68
2016-12-06,25.3664,53.9719,38.236,124.57,116.5913,37.6975,2.3002,9.45
2016-12-07,25.6156,55.2503,38.521,125.39,117.2273,38.2974,2.3416,9.56
2016-12-08,25.8671,54.9262,38.3665,123.24,118.1815,38.5571,2.3024,10.34
2016-12-09,26.2893,55.7905,38.433,122.88,118.9467,39.1963,2.2616,10.34
2016-12-12,26.1393,55.9706,38.006,122.83,117.0484,39.1953,2.2066,10.68
2016-12-13,26.5754,56.6998,38.717,123.78,119.5729,39.5345,2.2455,10.54
2016-12-14,26.5754,56.4297,38.441,123.44,119.4735,39.5826,2.3756,10.55
2016-12-15,26.7207,56.3397,38.05,125.0,119.8313,39.6214,2.4313,10.86
2016-12-16,26.7553,56.0876,37.8885,124.22,119.1356,39.2713,2.4731,10.66
2016-12-19,26.9099,57.276,38.3,125.45,118.5094,39.4401,2.5032,10.95
2016-12-20,26.9814,57.204,38.561,125.12,118.3603,39.5503,2.5904,11.51
2016-12-21,27.0068,57.204,38.53,126.5,118.3107,39.458,2.6066,11.47
2016-12-22,26.8291,57.213,38.317,125.58,116.6807,39.2941,2.6381,11.6
2016-12-23,26.8822,56.9339,38.0295,125.59,116.5515,39.2271,2.7039,11.58
2016-12-27,27.0529,56.9699,38.57,128.35,117.287,39.3085,2.8896,12.07
2016-12-28,26.9376,56.7088,38.6065,125.89,116.2036,38.9857,2.6909,11.55
